class,protein_g,fat_g,carb_g,serving_size_g,source_url
churros,3.5,6.3,38.7,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175307/nutrients
clam_chowder,6.2,4.8,8.9,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175310/nutrients
club_sandwich,19.8,14.7,15.2,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175313/nutrients
crab_cakes,12.8,8.7,13.5,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175316/nutrients
creme_brulee,4.5,18.5,21.3,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175319/nutrients
croque_madame,18.7,19.2,12.4,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175322/nutrients
cup_cakes,2.9,8.4,34.1,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175325/nutrients
deviled_eggs,12.3,10.6,2.3,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175328/nutrients
donuts,5.2,8.1,31.4,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175331/nutrients
dumplings,8.1,7.2,18.4,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175334/nutrients
edamame,11.9,5.2,7.3,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175337/nutrients
eggs_benedict,13.8,15.4,3.2,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175340/nutrients
escargots,16.5,6.5,3.1,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175343/nutrients
falafel,13.3,17.9,31.8,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175346/nutrients
fish_and_chips,15.8,10.3,17.4,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175349/nutrients
foie_gras,15.8,43.4,4.7,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175352/nutrients
french_fries,3.4,13.1,36.4,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175355/nutrients
french_onion_soup,2.8,3.5,4.2,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175358/nutrients
french_toast,8.3,3.8,24.7,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175361/nutrients
fried_calamari,17.8,7.3,14.2,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175364/nutrients
fried_rice,4.1,5.2,23.7,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175367/nutrients
frozen_yogurt,4.0,1.2,22.0,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175370/nutrients
garlic_bread,6.7,4.8,26.2,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175373/nutrients
gnocchi,2.0,0.2,18.5,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175376/nutrients
greek_salad,6.3,18.1,3.9,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175379/nutrients
grilled_cheese_sandwich,14.5,11.2,18.3,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175382/nutrients
grilled_salmon,22.1,13.4,0.0,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175385/nutrients
guacamole,2.0,13.4,6.5,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175388/nutrients
gyoza,7.8,5.6,22.1,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175391/nutrients
hamburger,13.9,11.8,22.3,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175394/nutrients
hot_and_sour_soup,3.2,1.8,4.5,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175397/nutrients
hot_dog,10.6,13.2,18.9,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175400/nutrients
huevos_rancheros,12.4,11.8,7.2,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175403/nutrients
hummus,8.0,14.7,14.3,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175406/nutrients
ice_cream,3.5,11.0,23.6,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175409/nutrients
lasagna,8.1,6.3,7.2,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175412/nutrients
lobster_bisque,6.8,3.2,4.1,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175415/nutrients
lobster_roll_sandwich,17.3,14.2,8.4,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175418/nutrients
macaroni_and_cheese,10.4,14.3,15.8,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175421/nutrients
macarons,5.6,8.9,71.2,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175424/nutrients
miso_soup,2.1,0.8,2.3,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175427/nutrients
mussels,18.7,3.4,7.5,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175430/nutrients
nachos,6.4,24.3,21.1,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175433/nutrients
omelette,14.1,10.3,2.1,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175436/nutrients
onion_rings,3.9,8.7,27.8,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175439/nutrients
oysters,9.4,2.4,5.2,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175442/nutrients
pad_thai,10.3,8.1,23.5,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175445/nutrients
paella,9.8,6.2,12.4,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175448/nutrients
pancakes,8.1,3.2,18.6,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175451/nutrients
panna_cotta,3.5,11.2,16.8,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175454/nutrients
peking_duck,19.5,28.6,0.0,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175457/nutrients
pho,6.7,3.2,4.8,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175460/nutrients
pizza,11.4,9.8,24.2,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175463/nutrients
pork_chop,23.3,10.7,0.0,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175466/nutrients
poutine,8.7,19.4,23.1,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175469/nutrients
prime_rib,24.8,19.2,0.0,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175472/nutrients
pulled_pork_sandwich,16.8,13.4,6.2,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175475/nutrients
ramen,4.5,2.1,13.7,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175478/nutrients
ravioli,4.8,1.2,14.3,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175481/nutrients
red_velvet_cake,4.2,15.3,28.7,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175484/nutrients
risotto,4.1,3.8,18.2,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175487/nutrients
samosa,6.3,8.1,24.7,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175490/nutrients
sashimi,17.1,2.4,0.0,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175493/nutrients
scallops,15.9,0.8,3.2,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175496/nutrients
seaweed_salad,3.2,1.8,7.1,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175499/nutrients
shrimp_and_grits,12.7,5.4,18.3,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175502/nutrients
spaghetti_bolognese,8.2,6.4,7.8,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175505/nutrients
spaghetti_carbonara,11.8,14.2,8.4,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175508/nutrients
spring_rolls,3.8,4.2,12.7,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175511/nutrients
steak,25.6,15.1,0.0,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175514/nutrients
strawberry_shortcake,2.1,8.7,24.3,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175517/nutrients
sushi,7.4,2.4,16.7,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175520/nutrients
tacos,8.3,6.7,12.4,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175523/nutrients
takoyaki,6.8,4.3,18.9,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175526/nutrients
tiramisu,3.5,15.2,21.3,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175529/nutrients
tuna_tartare,20.4,8.7,1.2,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175532/nutrients
waffles,5.4,8.1,32.4,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175535/nutrients
